id,displayed_text,gold_reference
912cd406dd6b3bd7d5d9bb7b1e98c890831b148c3d88e0c0319ce2cedae33f9d,"After enjoyable activities , like petting , play or talking , both dogs and humans feel a surge of chemicals in their bodies .","After activities such as petting , play or talking , both dogs and humans feel a rush of chemicals in their bodies ."
10371b585b150a09cf43120b1dc447114f94b56ce447eba00488c6ff9d054ac4,The National Institute of Anthropology and History said Monday that a team led by archaeologist Leonardo Lopez Lujan had discovered an 8.4-meter-long -LRB- 27-foot-long -RRB- tunnel leading into the center of a circular platform where dead rulers were believed to have been cremated .,The National Institute of Anthropology and History is a Mexican government department that researches Mexican history . They announced recently that a team had discovered a 27-foot-long -LRB- 8.4-meter -RRB- tunnel . The team was led by archaeologist Leonardo Lopez Lujan . The tunnel leads into the center of a circular platform . Dead rulers were believed to have been cremated at the site .
c48b8f0549cdbd6d54f5da82340cc99b2e92e6b2974b0481ed1ddc78cc95dd45,Sanders said he would like to see wealthy Americans and businesses pay more taxes .,"Rich Americans and big businesses should pay more taxes , he said ."
8e928489538945e4a437acf07d89c243e12822e31fb1a41ea32466be1bbb99ee,"The automotive industry here is still small compared with Detroit , and an increase of about 10,000 jobs has a small effect on the state 's large and diverse economy .","This number is still small when compared with Detroit , however . There are an estimated 326,000 automotive workers employed in Michigan ."
ee05e503a52aed4d2b8d55a62f16154ceb5eaebeabf344da4743ffc95aea7f36,The Japanese equivalent of the Peace Corps — Japan 's Overseas Cooperation Volunteers — will do the same .,The Japanese version of the Peace Corps — the Overseas Cooperation Volunteers — will do the same .
589424abfbe4ee5fecb65c5ea3ddc592d94de8334f9592fc23f9baeffdb61c6c," But in this collection , we hear more of that militant voice . ","However , Cannon said , "" in this collection , we hear more of that militant voice . """
db5a86d717d3e42ae420082345d30214dc9bb35b27ffa15953ac38a505fa9238,he yelled .,his father Russell yelled .
44c1065ee6928d965fa32fb91294071dcb78910e46b101871149cf9257f1213c,The songs appeared on the Billboard Hot 100 list from 1960 to 2010 .,The songs were from 1960 to 2010 .
2c9aa53338caf28b389dbf93f7a5607232a9344418ac904e4d90df905b9e8557,The response to the Paris attack should be to set the West on a path to dealing with the Middle East in a way that undermines the anti-Western attitudes that lead to indiscriminate violence of the kind we saw on the streets of Paris .,The response to the Paris attacks should be to set the West on a path to dealing with the Middle East . We must do so in a way that undermines the anti-Western attitudes that led to the violence we saw on the streets of Paris .
6215b6dc6acd3c4956db46e51c7e2ab196a52843e183660dc5d3a69bc7450c4f,"It 's really a good thing . ""","Hintch said sneaking in coding along with fun activities is "" really a good thing . """
c17dd00671c10c8ed819895739a174c4dba6733dbfa5e365d0697a00d3c56fa6,""" Being at Hopeworks makes me want to impart my skills , "" she said .",Gabrielle said that Hopeworks has helped her .
13ea6eea521cbb47b13b2778c4bd89f914fab6cb31caf52d85b7868dfdb7864c,"Many students said the Lovato concert was a good move for Clinton , but they were not all convinced .",Many students said the Lovato concert was a good move for Clinton . Not all of them were convinced .
6d4ccae1d65b9e33ac1253aed2e321aaa7ba4bdfcf19e37c966d9b0ba5e44a3f,"In the midst of it , rapper Common summarizes how words , melody and a protest merged during the civil-rights movement .",Music has been a big part of the struggle for civil rights for a long time .
9ec83328fbea94d7cdc4b92aba92f64abaa8727f6c0c99cc3b588b58bb8bb3f5,"He is the first to market a simplified version of the tool to the public , a project that , for now , is not dangerous .",Zayner is the first to sell a gene-changing tool to regular people . His set is not dangerous .
807119fcc131fd3b923cf189b1984e1ed88fece0663b20c95d28a9488bb2cc63,Such activities provoked fears and intense distrust among the city 's white population .,The city 's whites soon became distrustful of the church .
378a896f8f6c00945d814d6636582ec65c8fa6d55eeb1cb594c4dc545d196623,"Areas of the brain involved in executive function are not fully developed and integrated in children , research has shown .",Research has shown that certain important areas of the brain are not fully developed and connected in children .
2448eb8076d7de7c057e25bc19ed87c483499b250565bc8e874c839fad15ad2d,"At one point , he pointed to a front-page story in The New York Times and told his stunned colleagues that extraterrestrials had placed coded messages for him in the newspaper article .","At one point , he thought aliens were sending messages to him through the newspaper ."
abd9b930a75b92044666af6080c68bfa72af50ab636e16c5294a7a5e495480c6,Scientists explained different people saw different colors because of the different ways our brains analyze the information it gets from our eyes .,Scientists explained that different people saw different colors because of the way the brain deals with what the eye sees .
af015d179ab544cfde58fbe349933f69c83ef39843bb21f267d954486471b8c5,""" This is fantastic news .",Sunita said it was wonderful news .
117ba626432272a1147d319f4dbf75b188c34059a90136f8f6be7c9bf3049686,Cargo drones are particularly well suited to the so-called local-agent delivery model .,Cargo drones are particularly good for reaching them .
c66695eea14f17d597771518c795be959a393992c0e4c9f672452869e45991c4,"Some were completely intact , while others were fragmented .","Some were whole , while others were broken ."
ab419ec2b453ff93d66854fdc0363e3f8916b27ef82dce68590d414062263f8f,"Although most of us take friction for granted when we hit the stop pedal , many of its details are still a mystery .",Yet even scientists do not understand everything about why they happen .
0a6fc5f2c2195287988bd241188ad8adc46da5d2837a85e0c765897df8a998ac,"In a rare interview , Chauvet described digging through narrow passageways and guiding a flashlight in the blackness until one of his fellow spelunkers came across "" the two lines of red ochre .","In an interview , Chauvet described finding the paintings . He told how he and the other explorers dug through narrow tunnels guided only by a flashlight until one of them spotted "" the two lines of red ochre ."
c8892f79ec297b6da376a7f81026bbe8bf84a05bcd56441447ff552f5fc76875,"Alternatively , the chloroplasts might consent to keep busy because they are getting carbon dioxide or something else out of the deal , like the algae living in the salamanders ' eggs — until the slugs double-cross them and digest the plastids properly .","If so , the slugs might be getting some extra oxygen . In turn , the chloroplasts might be getting carbon dioxide from the slug ."
4a2f7b1ee95ebeb6cda026d577f8fda04b4c6f288898e7ddcbde37234ebe6b48,"The eels ' electricity-producing organ has both a positive and a negative end , with the positive end at the head and the negative end in the tail .",Both the head and the tail help an eel send out electricity .
6c771d7556613489ca632a8f3866bf5a3f78a5cab8751a779f2932c9ac1330b0,"More important , according to Schmitt , young African-Americans can face a measure of discrimination when they try to get their foot in the door , sometimes losing job opportunities to white applicants .","More importantly , employers may treat them unfairly because they are black ."
43cfde8f9b0167e1bd2b6febcbb068e1e13c202ef251d08ec401abfda8e1802c,"It is already widely understood that obesity — the condition of being extremely overweight — poses serious health risks , including heart disease and diabetes .",An obese person is someone who is extremely overweight . Scientists have long known that obesity is bad for your health .
a4becdb4659349beb590028e7802612e526db255efd93065a2a75ad7aa2d4435,"Without a major change in how teachers are taught , America will continue down the same path , raising generation after generation of students who do not understand what it means to be an American , who equate freedom of speech with "" selfies , "" who believe freedom of religion requires purging religion from the public square , who think our Founding Fathers — denigrated in popular culture as dead old white men — are irrelevant .","Without a major change in how teachers are taught , America will continue down the same path . We 'll continue to raise children who do not understand what it means to be an American . These kids will equate freedom of speech with "" selfies "" and believe freedom of religion requires removing religion from public life . Our Founding Fathers are already belittled in popular culture as dead old white men ."
385443fe046528018a612d3a2012669b9722469b90d7d0890cf8c42e496c5cd4,""" You can take any part of the car and talk about how it was engineered and why it 's designed the way it is to interact with the rest of the race car , and there 's a physics or a math or a science lesson in any of that , "" he said .","You can take any part of a race car and talk about its design , he said . "" There 's a physics or a math or a science lesson in any of that . """
5e1a729f0730079a5d13590ee7972727ec73a7f32fcb68897036303cb3f50abd, It 's not unusual for people to talk about their accidents or near accidents along with the fun times they 've had . , It 's not unusual for people to talk about their accidents or near accidents . 
b1018e2dd0d8e9caf5db02e7996ff0ff67b2ba906e933b706f897c914b459319,The National Museum of African American History and Culture has been working on the project with five other groups .,"The National Museum of African American History and Culture has been working on the "" Slave Wreck Project "" with five other groups ."
fac00c77e00e99a3d1d05c9537928be862e2ca685015ecbd31f5d2d19e9a9409,"When she was 10 , her family moved to the United States without legal permission .","When she was 10 , her family moved to the United States . They came without permission ."
2053492ba2e3d959928f1e4f1aa30a27ffa7993741f39540e4da47a3e6ca065a,Lapchick said he thinks legislative action would be more compelling than any punishment that the NCAA could hand out .,Lapchick said a NCAA rule would not be good enough .
c3c0ce98818e50babdff433766a059d66c6ff4451d8c3c0ca78e7a3fbc6ed78e, I get to work with people who make a difference every single day . ,""" I get to work with people who make a difference every single day , "" Nagle says ."
26c0dee892b891c45ad8132a88771fa30ec8b4d9987e72794d8c969a67f3f887,"Splashes of dry paint spatter the floor , and incense fills the air .",There are spots of dry paint on the floor and a set of barbells nearby .
7222c283c00807b77751dfe440ad164b5e39f8fa9b8b0480939b789174f80a1d,She recalls a letter written to Lincoln by a Louisiana teacher who begged the president for a job up north .,She spoke about a letter written to Lincoln by a Louisiana teacher . The man begged the president for a job up North .
c99a0049588dfe7165a237ba4703e96483442485e2ef4dec47076df7375c21e6,"Before , they would be wandering the room and not as focused , but now , these new desks let them work where they want to work . ""","The new fit workstations let the students work where they want , she said ."
0cf5105d83fe95d48fe87225000cb6356e4658312bec937b3421600e03865d98,"Alan Durning , a founder of Seattle 's Sightline Institute and an author of the initiative , called those arguments a stretch .",Alan Durning is an author of the Seattle ballot measure .
373531aa64bc7e9d16115bc6259818ab15cffac947d52a4419ed9c6030508b66,"The researchers gathered 170 2- to 4-year-olds , about half of whom were described by parents as choosy .",The researchers brought together 170 2- to 4-year-olds . Half of them were described by parents as being choosy .
cee57fc7315f770976eef67789bf48f3f3651ebca9fe58b6e560a7154212e49e,"In November , Bond wrote a letter to the superintendent , school board president and other officials .","In November , Bond wrote a letter to the school ."
11c0693274ce47b116f0d2a3d280ce94b9a0fa6ded8e8ee6cb3f7580d9be4b0b,"It amounts to as much as $ 100 extra a week , and has lifted farmworkers ' salaries from about $ 10,000 to $ 17,000 a year .","It comes to around $ 100 extra a week . Workers now make $ 17,000 a year ."
d94dcbdb7628953c1657c75b6a65b1cebfbd0486a80c8c21e788d3c9c62452b5,The findings are significant for cancer research because cancer cells are kept alive by DNA repair mechanisms .,"Cancer grows inside the body . When DNA is fixed , it helps the cancer stay alive . The DNA of the cancer is fixed too ."
5a7ba8640e526689b748e4659e28e933ad928e52df5354e423996ae6e468733c,Mark is a retired astronaut .,Mark Kelly is a retired astronaut .
157aa41e29cf558ccf894e135cf5ec4adfe6b83c949613ed1d42768aeccc9747,"Humbaba emerges , not as a barbarian ogre , and but as a foreign ruler entertained with exotic music at court in the manner of Babylonian kings .","In the original story , Humbaba was an ogre . The new tablets tell us that he is not an ogre . Instead , Humbaba is a king from another country . He listens to music at another king 's court ."
3dba2c4beb0e37d6f73bc4b2d0e210380c9a6a23a5e23dc537c7f378ad00e3d7,They are flown by computers on board or a person on the ground .,A person on the ground can fly it .
d320474a36288db3f83f2da593b0f7b77027ccac9e1f677f78477f2616fea276,"All of it will be compared with test results from his brother , a retired astronaut .",All of the information collected about Scott Kelly during his year in space will be compared with test results from his brother 's year on Earth .
224a6c013c0b63efe8a3b3c881515fe36c1495f5c4958d3efe4f5671461b2643,"As El Nino bears down on California this year , worse is expected .","As El Nino hits California this year , worse is expected ."
bf152bc4acbd87f3c470b3138d2947deefae479596ed27fd78e3f09bbaf0efce, The parents ought to be getting out there yelling at the elected officials and telling them they 've made sledding more dangerous for their kids . ,""" Parents ought to be getting out there yelling , "" law professor Craig Lawson said . The city has "" made sledding more dangerous "" for kids ."
308457e633d2dedc851650598e474cbe9370fa9c829b49de7efceb3ed303e505,""" For 100 years , automobiles have been a mechanical engineering industry , "" said the center 's director , Dragos Maciuca , who on his morning commute drives past a nearby research center of German automotive electronics and parts supplier Bosch .","Dragos Maciuca , director of Ford 's new center , once worked for Apple . He said that for the first 100 years that there were cars , manufacturing them was simple ."
1f7b79829b3a676b25c79c39f3d398573647becd7c6a9072a63600a4161c2e2e,"Hours before his rally , the chairwoman of the Democratic National Committee , Rep. Debbie Wasserman Schultz of Florida , criticized Rubio as just another establishment Republican with no new ideas .","Before the announcement , Democratic lawmaker Debbie Wasserman Schultz criticized him . She argued that he would not bring the change he was promising ."
3d708ea96d075111aa162048ebc1a3e052c7034a20be1bfa21a267a65ea6ddf6,He worries that the kits will help more people to become familiar with gene editing .,He worries that the tools will make gene changing too easy .
a2a6085ada00549abf24d9101aa9633c85e52e65b4d7e4b850a3098b8e3c6945,And it would set up a national volunteer working group to advise the federal government on marine disease emergencies .,It also would set up a national volunteer working group to advise the federal government on marine disease emergencies .
56860889b56df41c111a56c66233f9f15b3035a25b5fa9d61588af31e70ab467,"At the Overland Park hill where Russell Pope 's family was sledding Monday , safety measures have also been taken .",Overland Park has also tried to make sledding safer .
9ddbea3e2b7302faf93b51d86577723cae0c5d8387237c7a37f45b2b43dbeb10,It is one of several groups trying to get the extra sugar added to food labels .,WASHINGTON — Extra sugar is added to many foods we eat . It is one of several groups trying to get the added sugar on food labels .
bc2c6ccbb0bb14e8c9d2faf0ac2a68fc0d49aa6109c331640e568b203b774993,The organization now relies on ping-pong balls to keep the draft fair for all 14 teams .,Now the NBA uses ping-pong balls . They say it is the best way to keep things fair .
f573dac251c16352ce11d0d8b02cec26dbf2ed9e1997f2d4292ea61cfa19612a,Free-range hens get about 2 square feet of outdoor space .,Free-range hens get a little bit more space outdoors .
193778725c5ba4bfe643e9e57dae7bbbf533037b097525161169f565a6c3fad9,"He rationed his food and water , drinking just a pint a day for long stretches , and collected rainwater .",He collected rainwater whenever he could .
d631fa1a6982672e177e59ecaafd3234a9bb577f870711ebe33f1f3d30f3fa3f,"However , another member of the church , a slave named George Wilson , told his master about the plot .","However , a slave named George Wilson told his master about the plot ."
6537561f7b41056dd961767c13be2e8ef01a364cf085dcd7209d640427d5e526,"It could also mean enough air was left for survivors to breathe , said Park Chi-mo , a professor of naval architecture and ocean engineering at South Korea 's Ulsan University .","It also meant there might be enough air for people to breathe , said Park Chi-mo . He is a professor at South Korea 's Ulsan University ."
febaec33d8e32a00b72f12d1e5958d15fbaf64ce8f0ed213efe7daf6d8e90dd5,"That helps them determine when to apply more , or fewer , chemicals .","That helps the states decide when to apply more , or fewer , chemicals to melt ice ."
bcbf7972e47c608632a6560da44ca605eccfa2fe4395800b7e315162097c2ed6,"The United States will accept 85,000 migrants from around the world next year , up from the 70,000 now permitted .","Next year , the United States will let in around 10,000 new Syrian refugees ."
45524000dd03ef8ffd81831f59799c8b1821c0c10a7894252dd313ca9a34692c,"But the absence of U.S. boots on the ground changed the facts on the ground as well , and Islamic State was quick to take advantage .",But ISIS moved in when we pulled out our troops .
a084ebdde012bbcb30cd6802c4d24f1f5380ded494241a13c3076213b44c0beb,"Sweet corn is what Americans grill in the summer , and boil or bake during the rest of the year .",The first is sweet corn .
b1457be0a5cb21fa057fffd141de4eb3410170aa08bac2745166c30e18734fb3,The part of the algae that contains chlorophyll is a jelly bean – shaped structure known as a chloroplast .,The part of the algae that contains chlorophyll is known as a chloroplast . It is shaped something like a jelly bean .
91402e6a08686056dd34671b7b8f31c50a45db998b2bc33569b21e78ac1d12f1,"In a statement , BerryMex said it has been committed to "" fairness , honesty and respect for all employees "" since starting operations in the region in 2000 .","In a statement , BerryMex said it has been committed to "" fairness , honesty and respect for all employees . """
ee5e291af032d9b201219c1a433d401cb5d6220d3a65cc04550f46ac7c92ce9e,""" In the beginning , we are going to find them mainly in gardens because they will be transported from garden to garden , "" he said .",""" In the beginning , we are going to find them mainly in gardens because they will be transported from garden to garden , "" Justine said of the spread of the flatworm ."
24cc5d3c49bdebce823782d4b75bb02dfd1c622bd18a8b42d899973294c6d56e,"Now 80 , she is a third-degree black belt in American karate who can still snap off a spinning back kick and break boards and bones with her feet .",Helen Dugan is 80 years old .
8a41711020d817843ba4fa82cbced2bcd30033255b9de38ab83b1a2f47e80593,"Anything that is cutting edge that can get their guys a couple more years in the league , "" said Dr. Jim Bradley , orthopedic surgeon for the NFL 's Pittsburgh Steelers .","Players want the best new medicine , said Dr. Jim Bradley . He is the doctor for the NFL 's Pittsburgh Steelers ."
ce3f725cef44a578d10ed98b5c5d72df31235ca6f1d92dd1ff0261acd5c02afb,"Jordan survived on some limited food on board : flour pancakes fried on a propane stove and raw fish he caught with a hand net , Davis said .",Jordan survived on just a bit of food . He fried flour pancakes on a small stove and caught fish with a hand net .
3ceea22ed9583e6fdd0533362e625f1833f036b4828f963e13a55e56a8b41c36,"STOCKHOLM , Sweden — Three scientists from Sweden , the United States and Turkey won the Nobel Prize in chemistry on Wednesday .","STOCKHOLM , Sweden — Three scientists have won the Nobel Prize . They received it last Wednesday ."
3d04fe189fb386617c150ca712cbe49516d7b87ebdb6484b7b7ad875e53ef8c6,"She would also like to attract new recruits to her aging , shrinking order .","She would also like to attract women to her religious order . The nuns are growing older , and few women are coming to take their place ."
6738c4a08eae97789f9a5b18967d82630ba27e41097742f95f1b82cc178d538b,Zayner makes mixes in tiny glass containers .,Zayner is mixing in tiny glass bottles .
58ea35b195c27a1bfa19f91620637c5d7cc217b9b904c66c83914a83927a7830,"Kelly and other parents recently pushed for a public school downtown , and they lobbied to include a playground in a redesign of the city 's waterfront .",Kelly and other parents recently pushed the city to build a public school downtown .
803c2d86ac62e55889b6432a6886430b86dcd85f56d5a837fbea57da93d32bca,"In 2008 , as part of its clean-up campaign for the Olympics , the capital of Beijing for the first time required public places like restaurants , bars and hotels to provide smoke-free areas or rooms .","As part of its clean-up campaign , it required public places such as restaurants , bars and hotels to provide smoke-free areas or rooms ."
17beb27b10b29e8e76d666a9cfc49a822559d97972e6a6e251eb232a3c6fc317,"The roof leaks , the pipes are corroding and much of the communication cabling is not up to the demands of the digital age .",Its roof leaks and the pipes are breaking down .
376535840d5dda8c7daca9ff6cb3d1f089d15eef5d215b14ef26091687d03057,"He records music for them , and they put out and sell his albums .",He makes albums for the music company to sell .
331ca93ac84f127590821d3bc7e7669a4fac229308fb36973fb74cbdd0fefac5,"Five years ago , a visitor from northern India complained that a tour operator had stolen his camera , cellphone and hundreds of dollars in cash while he was praying in the temple .","Five years ago , a visitor from northern India complained that his camera , phone and some cash were stolen ."
eb8830eed798f4966a7c8131b56fb3c5a4d7a8e95d3f5551dfbe0ed6ef2ae950,"Harper says doctors who read stories are more empathetic and , therefore , more compassionate or caring , and more willing to listen to their patients ' stories .",Harper says doctors who read stories understand and care about their patients more . They become more willing to listen to their patients ' stories .
090a8f37774a0f780574dd70fd3a5814d3d4b83dde330a7ddfc82ed1b7966eb5,"Hungry pups were left stranded , alone and starving when their mothers took too long to return .",Hungry pups were left alone when their mothers took too long to return . They were starving . Their mothers did not have much food for them .
4f935403d93473c53d65c7bee8a6cf6790a48506da343b1a894d5326055e80dc,"Scientists have no idea how eels protect their own brain and muscles from being damaged by electricity , Catania said .",Scientists have no idea how they stay safe .
eb362b6c96a1f60f1362c7f91df276eab82488c96d1fb866a77844cab9d23242,""" It 's quite possible that Maybin is the worst player in the NFL , "" read one newspaper article .",Some news articles say Maybin was not a great football player .
97b4ef092ec599b78f61560e1ca528b02e963021b48efa59abbf1261af197ed9,"The April study noted the presence of perchlorates , a kind of salt .",The study also found a type of salt on Mars .
16b8ac0b1e183f054793d75ac87289613f33b6b52da43ad0f30a4e9dabd1a667,"But , she says , "" Thankfully we respect each other , and that 's what is important . """," Thankfully we respect each other , and that 's what is important . "
f9e6ed6d5bba00b15e2a6fbabeba7b2a8448028c35df6ab293fa016fe951ae56,Chefs can be expensive to hire .,Chefs can cost a lot of money to hire .
d7be2d239f70ee1528655d048bf321b20225bdf89a3875cc3b50628bc334d975,"Now , 25 years later and 12 miles up the road lies Pahoa .","Today , lava is heading toward Pahoa . The small town is 12 miles from Kalapana ."
3f2e17dd077e14cc62ac92186fee09a914bc04e7ea72a86be0874c1c769af5fe,"But that frees her , she said , to introduce the kind of advanced ideas that she finds most exciting about her field .","However , she said , they can still get a sense of the kinds of ideas that makes math so exciting for her ."
5230f22bd93e4092d601ba38e7217bad1a3ced571728cc21d7d4d88f799ff735,Their families had already been doing most of their shopping on base .,Families had already been doing most of their shopping on base .
68d7ffe97fa94da557b810f21f895bff37a1eecb531fcf726e0a59f6a59a8168,"In impoverished , crime-ridden neighborhoods like Austin , Englewood and Lawndale , more than 80 percent of the children tested in 1995 had dangerous lead levels .","In 1995 , the children in these neighborhoods were tested . Most of the children had dangerous amounts of lead in their bodies ."
965782673603354691b53369ff02e3cdcad1ac3ca2a42e05f97d0173edda0354,"Everything that can go wrong is going wrong , and we need to fix it . """,""" Everything that can go wrong is going wrong , "" Mendell says about the Earth 's problems . ... We need to fix it . """
f027c34a8e1cd823d1e8b971c6f8798ec597382cd42de98637eabcb22c342892,"Quickly , Paul Schmidt gathered his team and looked ahead to the next game , which would soon start .","After the game was over , coach Paul Schmidt quickly gathered the 9- and 10-year-old players around him to look ahead to the next game , which was starting soon ."
15a50001ff11f6bc12b86fab921548cd0be14924fbac29b9fd0b9f49fe10e078,Brown 's plan would also :,Other parts of Brown 's plan include :
3600ded8e09c1663b8ae2c483979b969274d37bad6ab43679b46b008614e36a1,"AquaBounty says that genetically modified salmon have the same flavor , texture , color and odor as the conventional fish .","AquaBounty says that genetically modified salmon has the same flavor , feel , color and smell as typical salmon ."
687d791ef092758ebeb20ebdf3cac5c0a25882898ee48c832ff238ae38aa60c4,"Most of the men in the profession are ethnic Sherpa people who live in the Himalayan highlands , an area at the bottom of Mount Everest .","Most sherpas are from the Himalayan highlands , the area at the bottom of Mount Everest ."
a1fff81a8434057e0258e4f31ac0d69d4a04d7d2eaed8077c355550f7181f77c,"President Abraham Lincoln reportedly said to Stowe when he met her in 1862 , "" So you 're the little woman who wrote the book that started this great war ! ""","President Abraham Lincoln met Stowe in 1862 . It is said that he told her : "" So you 're the little woman who wrote the book that started this great war ! """
2de30f110a665570436e47c43f32e9d66a8edce302291b89ac90fd409d0acb5f,"And because they do , store manager Megan Zayatz , 29 , has the unenviable task of cleaning the skunk cages .",She has to clean the skunk cages .
7fad0c3a90748f123d16f09dabb211c3ae186d74854666f4591021b3abd89601,"Eventually , the sisters made it to Austria and then Germany .",The sisters made it to Germany in the end .
3a2eb8bb5f2055dbd886fdfaa119663a410a5d05a7c02f5ed2d5d1e5e11edf07,"The April study noted the presence of perchlorates - a kind of salt - which could make the boiling point of Mars 's water much higher , theoretically allowing it to remain liquid .","The April study noted the presence of perchlorates , a kind of salt . These perchlorates could make the boiling point of Mars 's water much higher , which could allow it to remain liquid ."
c7113cc607ee9e3602f638d206cdf83ccccfcce3bfa08affdf839c4096d4e64c,"WASHINGTON — As standardized testing seems to be on the rise in schools , some parents say test refusal is growing .",Experts say that students are taking more tests than ever .
418375039cbffb468f0e21bfdaa5d08eb6b9ec99b74bf9bdf3ae05c43766a898,They currently live in the Utrish Marine Mammal Research Station in Russia .,They now live in the Utrish Marine Mammal Research Station .
2874655872d86dc44a4be8d265f89281a22ab291c770ef82578a743710eb0439,""" I want to finish the job before people misunderstand what a count like this means , "" said Rose , who worries that the upbeat survey results will be used to bolster an effort to reduce the very protections that have boosted their numbers .",He thinks manatees should still be protected . Other people think that manatees do not need so much protection anymore . They think that manatees are safe enough now .
